Source,Lake,nList,nStudy,Latitude,Longitude,Elevation,dD_OIPC_JJA,dD_OIPC_ANN,ANN_CI,OIPC_Year,dD_Lake,Err_Lake,dD_C21,Err_C21,dD_C23,Err_C23,dD_C25,Err_C25,dD_C27,Err_C27,dD_C29,Err_C29,dD_C31,Err_C31,dD_C33,Err_C33
Polissar and Freeman 2010,Laguna Grande de los Patos,63,4,8.81,-70.95,4189.8,-77.7,-95,14,2018,-34.1,10,,,-145,,,,-172.2,,-190.5,,-193.8,,,
Polissar and Freeman 2010,Laguna La Cura,64,5,8.81,-70.95,4230.1,-77.7,-95,14,2018,-62,5,,,,,,,-186.3,,-187.2,,-190.1,,,
Polissar and Freeman 2010,Laguna Verdes Baja,65,6,8.86,-70.87,4169.8,-76.7,-94,14,2018,-39.9,12.9,,,,,,,-171,,-184.3,3.5,-187.4,3.9,,
Polissar and Freeman 2010,Laguna Verdes Medio,66,7,8.86,-70.87,4191.7,-77,-94,14,2018,-37.4,9.3,,,,,,,,,-180.1,,,,,
Polissar and Freeman 2010,Laguna Victoria,67,8,8.81,-70.8,3210.9,-66.7,-78,10,2018,-75.2,5,,,,,,,-191,1.2,-191.1,1.6,-197.9,,,
Polissar and Freeman 2010,Laguna Negra,68,9,8.79,-70.81,3459.9,-69.3,-82,11,2018,-73.8,4.2,,,,,,,-182.4,1.7,-177.5,3.3,-191.8,2.1,,
Polissar and Freeman 2010,Laguna Mucubaji,69,10,8.8,-70.83,3570.2,-70.3,-84,11,2018,-71.6,4.2,,,,,,,,,-192.3,2.2,-196.4,2.3,,
Polissar and Freeman 2010,Laguna Michurao Alto,70,11,8.73,-70.86,3738,-72.7,-87,12,2018,-66.3,5,,,,,,,,,-187.6,,-196,,,
Polissar and Freeman 2010,Laguna Misteque,71,12,8.72,-70.88,3803.8,-73.3,-88,12,2018,-64.4,10,,,,,,,-193.1,,-195.8,,-198.4,,,
Polissar and Freeman 2010,"Laguna Royal ""D""",72,13,8.73,-70.87,3763.7,-73,-87,12,2018,-72.3,5,,,-211.8,,,,-201.7,,-199.2,,-197.7,,,
Polissar and Freeman 2010,"Laguna Royal ""C""",73,14,8.72,-70.87,3830.2,-73.7,-88,12,2018,-66,5,,,,,,,,,-194,,-201.4,,,
Polissar and Freeman 2010,Laguna de La Pata,74,15,8.65,-70.93,3980.2,-75.3,-91,13,2018,-55.1,10,,,,,,,,,-188.5,,-201.6,,,
Polissar and Freeman 2010,Laguna Los Lirios,75,16,8.31,-71.83,2305.1,-62.7,-67,5,2018,-22.6,7.5,,,-123.6,1.5,,,-156.4,2,-164.3,1.2,-173.7,0.8,,
Polissar and Freeman 2010,Laguna Zapatera,76,17,11.77,-85.85,32,-33.3,-32,2,2018,-8,5,,,,,,,-157.9,,-159.2,,-163.6,,,
Polissar and Freeman 2010,Berdeen Lake,77,18,48.71,-121.47,1560.576,-72.7,-105,6,2018,-107,5,,,,,,,-205.7,,-200.4,3.7,-199.7,3.2,,
Polissar and Freeman 2010,Rainy Lake,78,19,48.5,-120.74,1460,-73.7,-111,5,2018,-125,5,,,-210,,,,,,-209.7,,,,,
Polissar and Freeman 2010,Waddell Lake,79,20,48.44,-120.82,1499.616,-73.3,-109,5,2018,-128,5,,,-214.9,3.1,,,-225.7,2.2,-216.2,2.8,-208.4,3.1,,
Polissar and Freeman 2010,Owens Lake,80,21,36.49,-117.89,1147,-43,-85,4,2018,-97,5,,,,,,,-183.7,,-191.2,,,,,
Polissar and Freeman 2010,Lake Crowley,81,22,37.58,-118.74,2058,-52.7,-103,2,2018,,,,,-225.4,3.2,,,-241.4,2,-238,3,-225.1,2.1,,
Polissar and Freeman 2010,Mono Lake,82,23,37.94,-119.03,1899,-51,-99,2,2018,,,,,-172.5,1.4,,,-194.8,1.7,-194,0.9,,,,
Polissar and Freeman 2010,Blue (Eagle) Lake,83,24,39.75,-106.76,2536,-45,-98,1,2018,-117,5.3,,,-243.8,2,,,-234.8,3,-207.3,1.4,-209.2,4.5,,
Polissar and Freeman 2010,S. Grizzly Lake,84,25,39.69,-107.33,3239,-53.7,-111,4,2018,-101.4,4.4,,,-219.5,2.5,,,-222.3,0.9,-205.4,4.5,-204.1,0.7,,
Polissar and Freeman 2010,Bison Lake,85,26,39.76,-107.35,3276,-54.7,-112,4,2018,-108,6.9,,,-213.9,4.9,,,-213.2,1.4,-205.2,2.6,-203.8,5.1,,
Polissar and Freeman 2010,Emerald Lake,86,27,39.07,-111.5,3093,-67.3,-120,5,2018,-96.2,2.7,,,-207.9,2.3,,,-212.1,0.3,-204.3,1.8,-200.1,,,
Polissar and Freeman 2010,Bear Meadows,87,28,40.73,-77.76,552,-27,-65,2,2018,-69,5,,,,,,,,,-191.3,,,,,
Douglas et al 2012,Dzitya,88,1,21.07,-89.69,5,-14,-18,4,2018,-27.5,,,,,,,,,,-128.5,1,-132.8,1,-146.5,1
Douglas et al 2012,Xoche [e],89,2,20.66,-89.37,16,-15,-18,5,2018,-28.5,,,,,,,,,,-153,1,-150.5,1,-153.6,1
Douglas et al 2012,Yaalchak [e],90,3,20.6,-89.71,6,-16,-20,7,2018,-27.5,,,,,,,,,,-142.9,1,-165.6,1,-189.6,1
Douglas et al 2012,Canana,91,4,20.49,-89.17,13,-15.7,-18,5,2018,-28.7,,,,,,,,,,-137.7,1,-137.8,1,-144.1,3
Douglas et al 2012,Chumayel,92,5,20.49,-89.19,13,-15.7,-18,6,2018,-29.4,,,,,,,,,,-110.7,1,-110.1,1,-114.2,1
Douglas et al 2012,Ticul,93,6,20.35,-89.5,10,-16.7,-20,8,2018,-29,,,,,,,,,,-143,1,-145.4,1,-151.5,1
Douglas et al 2012,Cepeda Peraza,94,7,20.16,-89.24,50,-17.7,-21,8,2018,-28.6,,,,,,,,,,-136.7,1,-141.5,1,-144.6,1
Douglas et al 2012,Hobonil,95,8,20,-89.03,44,-17.7,-21,8,2018,-28,,,,,,,,,,-126.5,1,-133.3,1,-151.2,1
Douglas et al 2012,Chichancanab,96,9,19.88,-88.77,10,-17.7,-20,8,2018,-30.6,,,,,,,,,,-128.5,2,-135,1,-158.6,3
Douglas et al 2012,La Corona [e],97,10,17.52,-90.37,151,-24.7,-26,8,2018,-31.8,,,,,,,,,,-148,1,-143.9,1,-143,2
Douglas et al 2012,Cuerpo Uno [e],98,11,17.49,-90.39,115,-24,-26,8,2018,-30.4,,,,,,,,,,-147.9,1,-148.5,4,-164,3
Douglas et al 2012,Yaxha,99,12,17.07,-89.41,130,-25,-25,7,2018,-25.9,,,,,,,,,,-142.9,3,-147.7,1,-155.9,2
Douglas et al 2012,Sacpuy,100,13,16.99,-90.05,123,-25,-26,7,2018,-27.7,,,,,,,,,,-144.2,1,-144.6,1,-164,1
Douglas et al 2012,Salpeten,101,14,16.98,-89.68,105,-24.7,-25,7,2018,-26.4,,,,,,,,,,-144,1,-149,2,-169.2,1
Douglas et al 2012,Macanche,102,15,16.97,-89.64,169,-25.7,-26,7,2018,-27.3,,,,,,,,,,-139.2,3,-144.1,3,-153.6,2
Douglas et al 2012,Peten Itza,103,16,16.93,-89.89,109,-25,-25,7,2018,-26.9,,,,,,,,,,-159.5,4,-161.6,1,-173.1,3
Douglas et al 2012,Quexil,104,17,16.92,-89.82,133,-25,-26,6,2018,-26.7,,,,,,,,,,-141.7,1,-142.1,1,-144.8,2
