Source,Lake,nList,nStudy,Latitude,Longitude,Elevation,dD_OIPC_JJA,dD_OIPC_ANN,ANN_CI,OIPC_Year,dD_Lake,Err_Lake,dD_C21,Err_C21,dD_C23,Err_C23,dD_C25,Err_C25,dD_C27,Err_C27,dD_C29,Err_C29,dD_C31,Err_C31,dD_C33,Err_C33
Freimuth et al 2019b,Chazy,169,1,44.73,-73.82,466,-38.3,-76,1,2019,,,,,,,,,-188,,-188,,-179,,,
Freimuth et al 2019b,Debar,170,2,44.62,-74.19,483,-38,-76,1,2019,,,,,,,,,-195,,-196,,-179,,,
Freimuth et al 2019b,East Pine,171,3,44.34,-74.41,513,-37.3,-75,1,2019,,,,,,,,,-199,,-193,,-180,,,
Freimuth et al 2019b,Heart,172,4,44.18,-73.97,665,-38.3,-75,1,2019,,,,,,,,,-187,,-186,,-174,,,
Freimuth et al 2019b,Hope,173,5,44.51,-74.13,523,-38,-76,1,2019,,,,,,,,,-202,,-190,,-176,,,
Freimuth et al 2019b,Horseshoe,174,6,44.14,-74.62,524,-36.3,-74,1,2019,,,,,,,,,-187,,-188,,-176,,,
Freimuth et al 2019b,Little Green,175,7,44.36,-74.3,521,-37.3,-75,1,2019,,,,,,,,,-189,,-190,,-179,,,
Freimuth et al 2019b,Moose,176,8,44.37,-74.06,475,-37.3,-74,1,2019,,,,,,,,,-194,,-190,,-176,,,
Freimuth et al 2019b,Quiver,177,9,43.74,-74.87,539,-34,-72,1,2019,,,,,,,,,-181,,-179,,-176,,,
Freimuth et al 2019b,Raquette,178,10,44.23,-74.47,470,-36.3,-74,1,2019,,,,,,,,,-189,,-186,,-167,,,
Freimuth et al 2019b,Sucker,179,11,44.18,-75.12,426,-35.7,-74,1,2019,,,,,,,,,-200,,-197,,-181,,,
Freimuth et al 2019b,Wolf,180,12,44.02,-74.22,558,-36.3,-73,1,2019,,,,,,,,,-184,,-179,,-168,,,
Seki et al 2010,Lake Shumarinai,181,1,44.33,,285,-34,-56,3,2019,,,,,,,,,,,,,,,,
Leider et al 2013,Lago di Bomba,182,1,42.01,14.36,269,-10,-38,1,2018,,,,,,,,,,,-156,3.9,-147,,,
Leider et al 2013,Lago Aimini Grande,183,2,40.2,18.45,0,-7,-36,2,2018,,,,,,,,,,,-159,2.6,-146,,,
Leider et al 2013,Lago di Monticchio,184,3,40.93,15.6,659,-15,-48,1,2018,,,,,,,,,,,-170,0.7,,,,
Nelson et al 2018,Baldegg,185,1,47.2,8.26,463,-32,-66,2,2018,-61.6,1.9,,,,,,,-176.1,,-199.7,,-197.6,,,
Nelson et al 2018,Brienz,186,2,46.73,7.97,563,-32,-67,2,2018,-94.1,1.4,,,,,,,,,,,,,,
Nelson et al 2018,Greifen,187,3,47.35,8.67,439,-32.7,-66,2,2018,-67.7,2.8,,,,,,,-175.5,,-193.2,,-190.5,,,
Nelson et al 2018,Inkwil,188,4,47.2,7.66,461,-31.3,-65,1,2018,-72.1,3.1,,,,,,,,,,,,,,
Nelson et al 2018,Lucerne,189,5,47.01,8.35,431,-31.7,-66,2,2018,-65.1,2.2,,,,,,,,,,,,,,
Nelson et al 2018,Mauen,190,6,47.17,8.08,504,-32.3,-67,1,2018,-79.8,1.8,,,,,−178.7,,-188.2,,-200.2,,-196.1,,,
Nelson et al 2018,Rot,191,7,47.07,8.31,419,-31.7,-65,2,2018,-81.8,1.5,,,,,−172.4,,-186.4,,-200,,-196.9,,,
Nelson et al 2018,Sarnen,192,8,46.87,8.22,469,-31.7,-66,3,2018,-57.4,1.9,,,-109.7,,−118.2,,-132.7,,-142.4,,-197.6,,,
Nelson et al 2018,Soppen,193,9,47.09,8.08,596,-33.3,-68,1,2018,-89.6,1.5,,,,,,,-186.5,,-200.6,,-197.6,,,
Nelson et al 2018,Thun,194,10,46.7,7.67,558,-31.3,-66,2,2018,-83.9,1.7,,,,,,,,,,,,,,
